,date,humidity
0,2021-08-30,0.009977969
1,2021-08-31,0.010656061
2,2021-09-01,0.012256422
3,2021-09-02,0.014552146
4,2021-09-03,0.016371636
5,2021-09-04,0.014714906
6,2021-09-05,0.013167599
7,2021-09-06,0.011851821
8,2021-09-07,0.012094117
9,2021-09-08,0.012761502
10,2021-09-09,0.011135779
11,2021-09-10,0.011723496
12,2021-09-11,0.012902744
13,2021-09-12,0.015753889
14,2021-09-13,0.017283704
15,2021-09-14,0.016622344
16,2021-09-15,0.014382956
17,2021-09-16,0.012715141
18,2021-09-17,0.013021117
19,2021-09-18,0.014845796
20,2021-09-19,0.01503584
21,2021-09-20,0.015926092
22,2021-09-21,0.016842315
23,2021-09-22,0.01615152
24,2021-09-23,0.017499372
25,2021-09-24,0.01608402
26,2021-09-25,0.013399104
27,2021-09-26,0.014092205
28,2021-09-27,0.013797621
29,2021-09-28,0.014252447
30,2021-09-29,0.014433298
31,2021-09-30,0.01416248
32,2021-10-01,0.014841491
33,2021-10-02,0.015860272
34,2021-10-03,0.0175779
35,2021-10-04,0.013826784
36,2021-10-05,0.008432295
37,2021-10-06,0.006600594
38,2021-10-07,0.00848994
39,2021-10-08,0.011242145
40,2021-10-09,0.012811319
41,2021-10-10,0.01314994
42,2021-10-11,0.015136872
43,2021-10-12,0.007081603
44,2021-10-13,0.005228652
45,2021-10-14,0.00549595
46,2021-10-15,0.004987271
47,2021-10-16,0.006626995
48,2021-10-17,0.009329258
49,2021-10-18,0.007187506
50,2021-10-19,0.006475431
51,2021-10-20,0.010948447
52,2021-10-21,0.014311736
53,2021-10-22,0.015624381
54,2021-10-23,0.016002622
55,2021-10-24,0.015642066
56,2021-10-25,0.016374094
57,2021-10-26,0.016750602
58,2021-10-27,0.015150495
59,2021-10-28,0.004684598
60,2021-10-29,0.004055212
61,2021-10-30,0.004021703
62,2021-10-31,0.004210101
63,2021-11-01,0.007891055
64,2021-11-02,0.010726785
65,2021-11-03,0.01080976
66,2021-11-04,0.01213403
67,2021-11-05,0.012450468
68,2021-11-06,0.013402933
69,2021-11-07,0.01480552
70,2021-11-08,0.009937937
71,2021-11-09,0.008361915
72,2021-11-10,0.009304989
73,2021-11-11,0.009995958
74,2021-11-12,0.007749741
75,2021-11-13,0.00777062
76,2021-11-14,0.008722113
77,2021-11-15,0.009837342
78,2021-11-16,0.010733567
79,2021-11-17,0.011123239
80,2021-11-18,0.012138329
81,2021-11-19,0.006476554
82,2021-11-20,0.004408494
83,2021-11-21,0.003951886
84,2021-11-22,0.005676219
85,2021-11-23,0.007603308
86,2021-11-24,0.007459683
87,2021-11-25,0.003460227
88,2021-11-26,0.003694633
89,2021-11-27,0.004968953
90,2021-11-28,0.010042553
91,2021-11-29,0.009523265
92,2021-11-30,0.007631987
93,2021-12-01,0.005981
94,2021-12-02,0.004368804
95,2021-12-03,0.004579257
96,2021-12-04,0.00520774
97,2021-12-05,0.007227256
98,2021-12-06,0.0110589
99,2021-12-07,0.010522651
100,2021-12-08,0.003825839
101,2021-12-09,0.002661689
102,2021-12-10,0.005657488
103,2021-12-11,0.008457843
104,2021-12-12,0.007288267
105,2021-12-13,0.010010355
106,2021-12-14,0.007669168
107,2021-12-15,0.004658836
108,2021-12-16,0.004994464
109,2021-12-17,0.004979108
110,2021-12-18,0.008277475
