0,date,is_school_day,is_work_day
159,2024-01-06,0,0
160,2024-01-07,0,0
161,2024-01-08,0.15,1
162,2024-01-09,1,1
163,2024-01-10,1,1
164,2024-01-11,1,1
165,2024-01-12,1,1
166,2024-01-13,0,0
167,2024-01-14,0,0
168,2024-01-15,0,0
169,2024-01-16,1,1
170,2024-01-17,1,1
171,2024-01-18,1,1
172,2024-01-19,1,1
173,2024-01-20,0,0
174,2024-01-21,0,0
175,2024-01-22,1,1
176,2024-01-23,1,1
177,2024-01-24,1,1
178,2024-01-25,1,1
179,2024-01-26,1,1
180,2024-01-27,0,0
181,2024-01-28,0,0
182,2024-01-29,1,1
183,2024-01-30,1,1
184,2024-01-31,1,1
185,2024-02-01,1,1
186,2024-02-02,1,1
187,2024-02-03,0,0
188,2024-02-04,0,0
189,2024-02-05,1,1
190,2024-02-06,1,1
191,2024-02-07,1,1
192,2024-02-08,1,1
193,2024-02-09,0.33,1
194,2024-02-10,0,0
195,2024-02-11,0,0
196,2024-02-12,1,1
197,2024-02-13,1,1
198,2024-02-14,1,1
199,2024-02-15,0.96,1
200,2024-02-16,0.86,1
201,2024-02-17,0,0
202,2024-02-18,0,0
203,2024-02-19,0,0
204,2024-02-20,1,1
205,2024-02-21,1,1
206,2024-02-22,1,1
207,2024-02-23,1,1
208,2024-02-24,0,0
209,2024-02-25,0,0
210,2024-02-26,1,1
211,2024-02-27,1,1
212,2024-02-28,1,1
213,2024-02-29,1,1
214,2024-03-01,1,1
215,2024-03-02,0,0
216,2024-03-03,0,0
217,2024-03-04,1,1
218,2024-03-05,1,1
219,2024-03-06,1,1
220,2024-03-07,1,1
221,2024-03-08,1,1
222,2024-03-09,0,0
223,2024-03-10,0,0
224,2024-03-11,0,1
225,2024-03-12,0,1
226,2024-03-13,0,1
227,2024-03-14,0,1
228,2024-03-15,0,1
229,2024-03-16,0,0
230,2024-03-17,0,0
231,2024-03-18,0.97,1
232,2024-03-19,1,1
233,2024-03-20,1,1
234,2024-03-21,1,1
235,2024-03-22,1,1
236,2024-03-23,0,0
237,2024-03-24,0,0
238,2024-03-25,1,1
239,2024-03-26,1,1
240,2024-03-27,1,1
241,2024-03-28,1,1
242,2024-03-29,0.05,1
243,2024-03-30,0,0
244,2024-03-31,0,0
245,2024-04-01,0.9,1
246,2024-04-02,1,1
247,2024-04-03,1,1
248,2024-04-04,1,1
249,2024-04-05,1,1
250,2024-04-06,0,0
251,2024-04-07,0,0
252,2024-04-08,1,1
253,2024-04-09,1,1
254,2024-04-10,0.22,1
255,2024-04-11,1,1
256,2024-04-12,1,1
257,2024-04-13,0,0
258,2024-04-14,0,0
259,2024-04-15,1,1
260,2024-04-16,1,1
261,2024-04-17,1,1
262,2024-04-18,1,1
263,2024-04-19,0.95,1
264,2024-04-20,0,0
265,2024-04-21,0,0
266,2024-04-22,1,1
267,2024-04-23,1,1
268,2024-04-24,1,1
269,2024-04-25,1,1
270,2024-04-26,1,1
271,2024-04-27,0,0
272,2024-04-28,0,0
273,2024-04-29,1,1
274,2024-04-30,1,1
275,2024-05-01,1,1
276,2024-05-02,1,1
277,2024-05-03,1,1
278,2024-05-04,0,0
279,2024-05-05,0,0
280,2024-05-06,1,1
281,2024-05-07,1,1
282,2024-05-08,1,1
283,2024-05-09,1,1
284,2024-05-10,1,1
285,2024-05-11,0,0
286,2024-05-12,0,0
287,2024-05-13,1,1
288,2024-05-14,1,1
289,2024-05-15,1,1
290,2024-05-16,1,1
291,2024-05-17,1,1
292,2024-05-18,0,0
293,2024-05-19,0,0
294,2024-05-20,1,1
295,2024-05-21,1,1
296,2024-05-22,1,1
297,2024-05-23,1,1
298,2024-05-24,0.1,1
299,2024-05-25,0,0
300,2024-05-26,0,0
301,2024-05-27,0,0
302,2024-05-28,0.05,1
303,2024-05-29,0.05,1
304,2024-05-30,0.05,1
305,2024-05-31,0.05,1
